순번/순위	구분	상품명	ItemId	ISBN13	부가기호	저자/아티스트	출판사/제작사	출간일	정가	판매가	마일리지	세일즈포인트	대표분류(대분류명)
856	국내도서	부덕의 길드 13	346659695	9.79E+12	7650	카와조에 타이치 지음	학산문화사(만화)	20240910	8,000	7,200	400점	2180	만화
857	국내도서	마크 로스코, 내면으로부터	345880127	9.79E+12	3600	크리스토퍼 로스코 지음, 이연식 옮김	은행나무	20240902	34,000	30,600	1,700점	3105	예술/대중문화
858	국내도서	나는 포기를 모른다	344821032	9.79E+12	3320	아놀드 슈워제네거 지음, 정지현 옮김	현대지성	20240823	18,000	16,200	900점	2790	자기계발
859	국내도서	블루 록 26	344098271	9.79E+12	7650	노무라 유스케 지음, 카네시로 무네유키 원작	학산문화사(만화)	20240808	6,000	5,400	300점	6120	만화
860	국내도서	블루 록 : Episode 나기 1	342596997	9.79E+12		산노미야 코타 지음, 노무라 유스케 그림, 카네시로 무네유키 원작	학산문화사(만화)	20240716	6,000	5,400	300점	10672	만화
861	국내도서	원칙 Principles (한정판 필사노트 에디션)	342135864	9.79E+12	3320	레이 달리오 지음, 고영태 옮김	한빛비즈	20180605	35,000	31,500	1,750점	27148	경제경영
862	국내도서	2024 해커스 투자자산운용사 최종핵심정리문제집 (이론정리+문제풀이 무료 인강 제공)	336552358	9.79E+12	13320	백영 외 지음	해커스금융	20240401	34,900	31,410	1,740점	7585	수험서/자격증
863	국내도서	원페이지 교육학 모의고사	318773709	9.79E+12	3370	Dave 지음	새벽노을	20230621	33,000	29,700	1,650점	10203	수험서/자격증
864	국내도서	눈부신 안부	316886280	9.79E+12	3810	백수린 지음	문학동네	20230524	16,000	14,400	800점	29069	소설/시/희곡
865	국내도서	순례 주택	266745690	9.79E+12	44800	유은실 지음	비룡소	20210311	15,000	13,500	750점	48694	청소년
866	국내도서	우리 아기 오감발달 흰 눈이 펑펑 겨울 사운드북	218576608	8.81E+12	1	샘 태플린 지음, 페데리카 아이오사 그림	어스본코리아	20191127	19,800	15,840	590점	6798	유아
867	국내도서	보카바이블 (VOCA Bible) 4.0 (A권 + B권)	149025998	9.79E+12	13740	허민 지음	스텝업	20180612	32,000	28,800	1,600점	29532	외국어
868	국내도서	2025 심우철 하프 모의고사 Season 2	346130722	9.79E+12	13740	심우철 지음	심슨북스	20240906	13,000	11,700	650점	4955	수험서/자격증
869	국내도서	아침과 저녁의 범죄	346126841	9.79E+12	3830	후루타 덴 지음, 문지원 옮김	블루홀식스(블루홀6)	20240909	17,800	16,020	890점	1870	소설/시/희곡
870	국내도서	더 기묘한 미술관	346109102	9.79E+12	3600	진병관 지음	빅피시	20240911	18,800	16,920	940점	2770	예술/대중문화
871	국내도서	2025 신용한 행정학 최근 10년 단원별 기출문제집 - 전2권	340955590	9.79E+12	13350	신용한.신용한행정학연구소 지음	메가스터디교육(공무원)	20240620	43,000	38,700	430점	9349	수험서/자격증
872	국내도서	좋은 문장 표현에서 문장부호까지!	333598743	9.79E+12	3700	이수연 지음	마리북스	20240215	18,000	16,200	900점	36458	인문학
873	국내도서	패배 히로인이 너무 많아! 2	307418217	9.79E+12	4830	아마모리 타키비 지음, 이미기무루 그림, 김민준 옮김	데이즈엔터(주)	20230106	7,500	6,750	370점	4847	소설/시/희곡
874	국내도서	연구방법론	234268648	9.79E+12	93370	성태제.시기자 지음	학지사	20200310	24,000	23,760	480점	4971	대학교재/전문서적
875	국내도서	꽃을 보듯 너를 본다	62163905	9.79E+12	3810	나태주 지음	지혜	20150620	11,000	9,900	550점	68360	소설/시/희곡
876	국내도서	내일은 발명왕 42	346890898	9.79E+12	77400	곰돌이 co. 지음, 홍종현 그림, 박완규 외 감수	미래엔아이세움	20240901	14,500	13,050	720점	2970	어린이
877	국내도서	카난 님은 초보 악마 6	346347782	9.79E+12	7650	논코 지음	학산문화사(만화)	20240906	6,000	5,400	300점	1840	만화
878	국내도서	상처받은 내면아이 치유	341300440	9.79E+12	3810	존 브래드쇼 지음, 오제은 옮김	학지사	20240613	18,000	17,200	0점	5483	대학교재/전문서적
879	국내도서	2024 해커스 전산세무 2급 이론+실무+최신기출 12회분	338535141	9.79E+12	13320	이남호 지음	해커스금융	20240502	32,000	28,800	320점	8692	수험서/자격증
880	국내도서	유튜브, 제국의 탄생	337323837	9.79E+12	3320	마크 버겐 지음, 신솔잎 옮김	현대지성	20240412	25,000	22,500	1,250점	3761	경제경영
881	국내도서	괴수 8호 10	325360291	9.79E+12		마츠모토 나오야 지음, 유유리 옮김	서울미디어코믹스(서울문화사)	20230927	6,000	5,400	300점	8644	만화
882	국내도서	나혼자 끝내는 독학 일본어 첫걸음	306571846	9.79E+12	13730	넥서스콘텐츠개발팀 지음	넥서스Japanese	20230103	15,000	13,500	750점	11848	외국어
883	국내도서	대학생을 위한 참여와 소통의 말하기	281638005	9.79E+12	3710	가은아 외 지음	박이정	20211030	15,000	14,250	750점	1780	대학교재/전문서적
884	국내도서	다정한 것이 살아남는다	276088365	9.79E+12	3400	브라이언 헤어.버네사 우즈 지음, 이민아 옮김, 박한선 감수	디플롯	20210726	22,000	19,800	1,100점	36376	과학
