순번/순위	구분	상품명	ItemId	ISBN13	부가기호	저자/아티스트	출판사/제작사	출간일	정가	판매가	마일리지	세일즈포인트	대표분류(대분류명)
972	국내도서	가벼운 고백	342782678	9.79E+12	3810	김영민 지음	김영사	20240710	18,800	16,920	940점	10644	에세이
973	국내도서	2025 해커스공무원 신민숙 쉬운국어 한 권으로 끝 (9급 공무원)	339199495	9.79E+12	13710	신민숙 지음	해커스공무원	20240513	20,000	19,000	200점	8788	수험서/자격증
974	국내도서	2024 최신판 에듀윌 공기업 국민건강보험공단 NCS + 법률 실전모의고사 4+4회 & 법률 100제	336135409	9.79E+12		에듀윌 취업연구소 지음	에듀윌	20240319	22,000	19,800	1,100점	4210	수험서/자격증
975	국내도서	퍼스널 MBA	332757062	9.79E+12	3320	조쉬 카우프만 지음, 박상진.이상호 옮김	진성북스	20240125	35,500	31,950	1,770점	30923	경제경영
976	국내도서	이토록 뜻밖의 뇌과학	276064196	9.79E+12	3400	리사 펠드먼 배럿 지음, 변지영 옮김, 정재승 감수	더퀘스트	20210805	16,000	14,400	800점	18525	과학
977	국내도서	살인자의 기억법	249404000	9.79E+12	3810	김영하 지음	복복서가	20200828	12,000	10,800	600점	13263	소설/시/희곡
978	국내도서	프랑켄슈타인 (무선)	17421649	9.79E+12	4840	메리 셸리 지음, 김선형 옮김	문학동네	20120618	11,000	9,900	550점	12563	소설/시/희곡
979	국내도서	월든	12840843	9.79E+12	3840	헨리 데이비드 소로우 지음, 강승영 옮김	은행나무	20110822	13,000	11,700	650점	30431	에세이
980	국내도서	똑 닮은 딸 3 박스판	347051281	9.79E+12	4650	이담 지음	학산문화사(만화)	20240926	32,000	28,800	1,600점	1680	만화
981	국내도서	반려 요괴 1 : 천잠	346687920	9.79E+12	74810	김영주 지음, 밤코 그림	위즈덤하우스	20240913	14,000	12,600	700점	6695	어린이
982	국내도서	2025 해커스공무원 국어 신(新) 유형공략 기출 333제 (9급 공무원)	346226477	9.79E+12	13710	해커스 공무원시험연구소 지음	해커스공무원	20240906	18,000	17,100	180점	7155	수험서/자격증
983	국내도서	죽지 않고 어른이 되는 법	346108375	9.79E+12	3810	강지영 지음	북다	20240905	16,800	15,120	840점	1515	소설/시/희곡
984	국내도서	유희왕 애장판 10	344817479	9.79E+12	7830	다카하시 카즈키 지음	대원씨아이(만화)	20240815	12,000	10,800	600점	5535	만화
985	국내도서	시간 고양이 5	343615034	9.79E+12	74810	박미연 지음, 이소연 그림	이지북	20240801	15,000	13,500	750점	7657	어린이
986	국내도서	초등 첫 문해력 신문	342972974	9.79E+12	74700	이다희 지음, 서희진 그림	아울북	20240717	19,800	17,820	990점	9781	어린이
987	국내도서	장송의 프리렌 12	342597187	9.79E+12		야마다 카네히토 지음, 아베 츠카사 그림, 서현아 옮김	학산문화사(만화)	20240725	6,000	5,400	300점	9112	만화
988	국내도서	2025 김중규 ALL바른 기출문제 선행정학 - 전3권	341989318	9.79E+12		김중규 지음	카스파(주)	20240702	47,000	42,300	2,350점	7419	수험서/자격증
989	국내도서	이렇게 작지만 확실한 행복	340824147	9.79E+12	3830	무라카미 하루키 지음, 안자이 미즈마루 그림, 김진욱 옮김, 무라카미 요코 사진	문학사상	20240610	16,000	14,400	800점	8109	에세이
990	국내도서	컴퓨터 네트워킹 하향식 접근	300406950	9.79E+12		James F. Kurose.Keith W. Ross 지음, 최종원 외 옮김	퍼스트북	20220701	39,000	38,610	780점	4865	대학교재/전문서적
991	국내도서	집단상담	290435153	9.79E+12	93180	천성문 외 지음	학지사	20220320	24,000	23,760	480점	2980	대학교재/전문서적
992	국내도서	10대를 위한 사피엔스	270457397	9.79E+12	73900	벵트 에릭 엥홀름 지음, 요나 비에른셰르나 그림, 김아영 옮김	미래엔아이세움	20210429	12,000	10,800	600점	10082	어린이
993	국내도서	변신·시골의사	60471	9.79E+12	4850	프란츠 카프카 지음, 전영애 옮김	민음사	19980805	8,500	7,650	420점	30398	소설/시/희곡
994	국내도서	을야의 고전 여행	346254546	9.79E+12	3810	박황희 지음	도서출판바람꽃	20240829	20,000	18,000	1,000점	2270	에세이
995	국내도서	SCP 재단 : 확보하고 격리하고 보호하라 9	346161479	9.79E+12	77000	Team. StoryG 지음	oldstairs(올드스테어즈)	20241001	12,500	11,250	620점	2040	어린이
996	국내도서	호랑이 들어와요 7	345725843	9.79E+12	7810	배세혁 지음, 유은 그림	길찾기	20240825	14,800	13,320	740점	2550	만화
997	국내도서	마흔, 이제는 책을 쓸 시간	345606351	9.79E+12	3320	부아c 지음	황금부엉이	20240904	19,800	17,820	990점	2540	자기계발
998	국내도서	허구의 철학	345266722	9.79E+12	3100	마르쿠스 가브리엘 지음, 전대호 옮김	열린책들	20240730	38,000	34,200	1,900점	3690	인문학
999	국내도서	이토록 다정한 개인주의자	344820685	9.79E+12	3190	함규진 지음	유노책주	20240822	17,000	15,300	850점	3055	인문학
1000	국내도서	세계-사이	344033548	9.79E+12	3810	최정우 지음	타이피스트	20240910	23,000	20,700	1,150점	3975	인문학
													
													
		좋은 책을 고르는 방법	 알라딘!! www.aladin.co.kr										
